所属区,市区,小区,户型,朝向,楼层,装修情况,面积,价格(万元),单价,年份,房型
青羊,外金沙,金沙愉景二期 ,3室1厅,西南,中楼层(共18层),精装,91.05平米,170,"18,672元/平",2009年建,板塔结合
高新,华阳,金茂光明城市 ,3室1厅,东,高楼层(共33层),精装,87.18平米,193.8,"22,230元/平",2016年建,板塔结合
高新,华阳,金茂光明城市 ,3室2厅,东,低楼层(共33层),精装,88.63平米,253,"28,546元/平",2016年建,板塔结合
高新,大源,华润凤凰城二期 ,4室2厅,南,中楼层(共27层),精装,159.84平米,610,"38,164元/平",2010年建,板塔结合
高新,华阳,戛纳湾滨江 ,3室2厅,西北,低楼层(共32层),精装,89.82平米,189.9,"21,143元/平",2010年建,塔楼
青羊,太升路,马王庙街26号 ,3室2厅,南 北,低楼层(共7层),简装,104.4平米,140,"13,410元/平",2000年建,板楼
双流,航空港,空港晶座 ,3室2厅,东 西,高楼层(共24层),精装,105.93平米,145,"13,689元/平",2012年建,板楼
锦江,卓锦城,锦江逸家 ,3室1厅,东南 西南,低楼层(共33层),精装,62.49平米,185,"29,605元/平",2015年建,塔楼
成华,建设路,佳州星城 ,1室1厅,东南,中楼层(共41层),其他,51.41平米,108,"21,008元/平",2016年建,塔楼
新都,新都城区,香江紫钻 ,2室1厅,东南,中楼层(共18层),简装,92.58平米,52.5,"5,671元/平",2015年建,板塔结合
郫都,郫县城区,绿地国际花都一期 ,3室2厅,南 北,中楼层(共33层),毛坯,88.75平米,95,"10,705元/平",2015年建,板塔结合
锦江,川师,万科城市花园 ,3室2厅,南,高楼层(共11层),精装,126.06平米,370,"29,352元/平",2007年建,板塔结合
郫都,犀浦,蓝光幸福满庭 ,3室1厅,西,高楼层(共26层),毛坯,71平米,108,"15,212元/平",2015年建,板塔结合
温江,温江大学城,格澜威尔 ,3室2厅,东南,中楼层(共18层),精装,84.54平米,103,"12,184元/平",2013年建,板塔结合
高新,广都,城南晶座 ,3室2厅,西,高楼层(共37层),精装,94.61平米,182,"19,237元/平",2011年建,塔楼
龙泉驿,大面,恒大绿洲 ,3室1厅,东南,高楼层(共32层),精装,117.71平米,168,"14,273元/平",2011年建,板楼
龙泉驿,大面,华润国际社区 ,3室1厅,东南,低楼层(共39层),精装,70.36平米,128,"18,193元/平",2016年建,板塔结合
温江,温江大学城,明信仕林府 ,3室1厅,东南 西南,高楼层(共33层),精装,89.98平米,130,"14,448元/平",2016年建,板塔结合
蓝谷地,蓝谷地,蓝谷地三四期 ,3室1厅,西,中楼层(共13层),简装,130.09平米,212,"16,297元/平",2008年建,板楼
温江,温江大学城,中铁丽景书香 ,3室2厅,西南,中楼层(共33层),精装,75.32平米,97,"12,879元/平",2016年建,板塔结合
龙泉驿,大面,百悦天鹅湖 ,2室1厅,东南,中楼层(共27层),精装,83.44平米,129,"15,461元/平",2015年建,板塔结合
高新西,高新西,成都合院一期 ,1室1厅,西南,高楼层(共18层),精装,39.99平米,48.8,"12,204元/平",2011年建,板塔结合
郫都,犀浦,溪地湾 ,3室2厅,东南,中楼层(共33层),精装,88.98平米,135,"15,172元/平",2015年建,塔楼
